title,month,year,social,aspect,opinion,review,country,polarity
Inaccessible Station,Aug,2014,instagram,Maintenance,Station is inaccessible,"The station was not accessible for people with disabilities. The lifts were broken, and there were no ramps.",Luxembourg,negative
Rude Staff,May,2020,google review,Satisfactions,Staff are rude,I had a bad experience with a staff member who was rude and unhelpful. They didn't seem to care about the passengers.,Malta,negative
Dirty Toilets,Jan,2021,twitter,Cleanliness,Toilets are dirty,The toilets were disgusting. They were dirty and smelly.,Iceland,negative
No Security,Jul,2017,facebook,Safety,No security,I felt unsafe in the station because there were no security guards present.,Switzerland,negative
Poorly Maintained,Oct,2019,instagram,Maintenance,Station needs repairs,"The station looked very run down and in need of some repairs. The floors were cracked, and the paint was peeling.",Norway,negative
Lost My Ticket,Dec,2016,google review,Handling complaints,Staff were unhelpful,I lost my ticket and the station staff couldn't help me get a new one. I had to buy a new ticket.,Sweden,negative
Dirty Station,Mar,2015,twitter,Cleanliness,Station is dirty,The station was dirty and smelly. There was trash everywhere.,Denmark,negative
Unhelpful Staff,Jun,2020,facebook,Satisfactions,Staff were unhelpful,"I asked for directions, but the staff member just pointed vaguely and walked away.",Finland,negative
Broken Escalator,Sep,2018,instagram,Reliability equipment,Escalator is broken,"The escalator was broken, so I had to carry my luggage up the stairs. It was very tiring.",Austria,negative
No Air Conditioning,Nov,2021,google review,Maintenance,Air conditioning is not working,The station was very hot and stuffy because the air conditioning was not working.,Poland,negative
Unreliable Train Service,Feb,2017,twitter,Punctuality,Train was delayed,"My train was delayed for over an hour, and there was no explanation given.",Czech Republic,negative
Long Queues,Aug,2014,facebook,User-friendly payment system,Long queues for ticket machine,"The queues for the ticket machines were incredibly long, and it took forever to get my ticket.",Slovakia,negative
No Security,May,2019,instagram,Safety,No security,I felt unsafe in the station because there were no security guards present.,Hungary,negative
Dirty Station,Jan,2023,google review,Cleanliness,Station is dirty,The station was dirty and smelly. There was trash everywhere.,Romania,negative
Unhelpful Staff,Jun,2016,twitter,Satisfactions,Staff were unhelpful,"I asked for directions, but the staff member just pointed vaguely and walked away.",Bulgaria,negative
No Wi-Fi,Sep,2018,facebook,Data availability,No Wi-Fi available,There was no Wi-Fi available in the station. It was very frustrating.,Greece,negative
Dirty Toilets,Dec,2020,instagram,Cleanliness,Toilets are dirty,The toilets were disgusting. They were dirty and smelly.,Cyprus,negative
Lost My Luggage,Mar,2022,google review,Handling complaints,Staff were unhelpful,"I lost my luggage on the train, and the station staff couldn't help me find it.",Latvia,negative
Broken Escalator,Nov,2015,twitter,Reliability equipment,Escalator is broken,"The escalator was broken, so I had to carry my luggage up the stairs. It was very tiring.",Lithuania,negative
No Air Conditioning,Jul,2017,facebook,Maintenance,Air conditioning is not working,The station was very hot and stuffy because the air conditioning was not working.,Estonia,negative
Unreliable Train Service,Oct,2019,instagram,Punctuality,Train was delayed,"My train was delayed for over an hour, and there was no explanation given.",Luxembourg,negative
No Security,Jan,2021,google review,Safety,No security,I felt unsafe in the station because there were no security guards present.,Malta,negative
Dirty Station,Jun,2016,twitter,Cleanliness,Station is dirty,The station was dirty and smelly. There was trash everywhere.,Iceland,negative
Unhelpful Staff,Sep,2018,facebook,Satisfactions,Staff were unhelpful,"I asked for directions, but the staff member just pointed vaguely and walked away.",Switzerland,negative
No Wi-Fi,Dec,2020,instagram,Data availability,No Wi-Fi available,There was no Wi-Fi available in the station. It was very frustrating.,Norway,negative
Dirty Toilets,Mar,2022,google review,Cleanliness,Toilets are dirty,The toilets were disgusting. They were dirty and smelly.,Sweden,negative
Lost My Luggage,Nov,2015,twitter,Handling complaints,Staff were unhelpful,"I lost my luggage on the train, and the station staff couldn't help me find it.",Denmark,negative
Broken Escalator,Jul,2017,facebook,Reliability equipment,Escalator is broken,"The escalator was broken, so I had to carry my luggage up the stairs. It was very tiring.",Finland,negative
No Air Conditioning,Oct,2019,instagram,Maintenance,Air conditioning is not working,The station was very hot and stuffy because the air conditioning was not working.,Austria,negative
Unreliable Train Service,Jan,2021,google review,Punctuality,Train was delayed,"My train was delayed for over an hour, and there was no explanation given.",Poland,negative
No Security,Jun,2016,twitter,Safety,No security,I felt unsafe in the station because there were no security guards present.,Czech Republic,negative
Dirty Station,Sep,2018,facebook,Cleanliness,Station is dirty,The station was dirty and smelly. There was trash everywhere.,Slovakia,negative
Unhelpful Staff,Dec,2020,instagram,Satisfactions,Staff were unhelpful,"I asked for directions, but the staff member just pointed vaguely and walked away.",Hungary,negative
No Wi-Fi,Mar,2022,google review,Data availability,No Wi-Fi available,There was no Wi-Fi available in the station. It was very frustrating.,Romania,negative
Dirty Toilets,Nov,2015,twitter,Cleanliness,Toilets are dirty,The toilets were disgusting. They were dirty and smelly.,Bulgaria,negative
Lost My Luggage,Jul,2017,facebook,Handling complaints,Staff were unhelpful,"I lost my luggage on the train, and the station staff couldn't help me find it.",Greece,negative
Broken Escalator,Oct,2019,instagram,Reliability equipment,Escalator is broken,"The escalator was broken, so I had to carry my luggage up the stairs. It was very tiring.",Cyprus,negative
No Air Conditioning,Jan,2021,google review,Maintenance,Air conditioning is not working,The station was very hot and stuffy because the air conditioning was not working.,Latvia,negative
Unreliable Train Service,Jun,2016,twitter,Punctuality,Train was delayed,"My train was delayed for over an hour, and there was no explanation given.",Lithuania,negative
No Security,Sep,2018,facebook,Safety,No security,I felt unsafe in the station because there were no security guards present.,Estonia,negative
Dirty Station,Dec,2020,instagram,Cleanliness,Station is dirty,The station was dirty and smelly. There was trash everywhere.,Luxembourg,negative
